id,components
137,"potassium nitrate, silver nitrate"
138,"octinoxate, octisalate, avobenzone, octocrylene"
139,allantoin
140,inotersen sodium
141,capsaicin
142,chloroxylenol
143,fexofenadine hydrochloride
144,esomeprazole magnesium dihydrate
145,"dextromethorphan hydrobromide, guaifenesin"
146,miconazole nitrate
147,"potassium nitrate, sodium fluoride"
148,benzethonium chloride
149,aluminum zirconium tetrachlorohydrex gly
150,chlorhexidine acetate
151,chicory leaf
152,lidocaine hydrochloride
153,magnesium hydroxide
154,hypromellose 2910 (4000 mpa.s)
155,"octinoxate, avobenzone"
156,aluminum chlorohydrate
157,magnesium sulfate heptahydrate
158,"lidocaine, menthol, methyl salicylate, camphor oil"
159,"octisalate, octocrylene, avobenzone, homosalate"
160,oxymetazoline hydrochloride
161,chlorhexidine gluconate
162,lapine s-100 immune globulin
163,"formoterol fumarate, aclidinium bromide"
164,"silver, glycerin"
165,hydrocortisone acetate
166,"hydrocortisone, iodoquinol"
167,bacitracin zinc
168,ethacrynic acid
169,"titanium dioxide, octinoxate, octisalate"
170,bosentan
171,"aloe, tea tree oil, chamomile"
172,"menthol, lidocaine, camphor oil, methyl salicylate, capsicum"
173,"phenoxyethanol, glycerin, titanium dioxide, allantoin, castor oil, niacinamide, potassium chloride, adenosine, acetyl hexapeptide-8, xanthan gum, sodium benzoate, gold, butylene glycol, dimethicone"
174,kaolin
175,pregabalin
176,donepezil hydrochloride
177,hydroxyzine pamoate
178,triamcinolone acetonide
179,armodafinil
180,rosuvastatin calcium
181,"octinoxate, octisalate, avobenzone, homosalate"
182,"octinoxate, octisalate, octocrylene, titanium dioxide"
183,doxycycline hyclate
184,methylprednisolone
185,propranolol hydrochloride
186,"lidocaine, menthol, methyl salicylate, capsaicin"
187,pentoxifylline
188,fenofibrate
189,mepivacaine hydrochloride
190,levothyroxine sodium
191,azithromycin dihydrate
192,"epinephrine bitartrate, articaine hydrochloride"
193,alprazolam
194,torsemide
195,"aloe, tea tree oil, chamomile, jojoba oil"
196,hypochlorous acid
197,albuterol sulfate
198,omega-3-acid ethyl esters
199,brexanolone
200,emapalumab
201,"menthol, lidocaine hydrochloride"
202,"epinephrine bitartrate, lidocaine hydrochloride"
203,fluticasone propionate
204,"xylitol, sodium bicarbonate"
205,"octinoxate, homosalate, avobenzone, octocrylene"
206,"bacitracin zinc, polymyxin b sulfate, neomycin sulfate, hydrocortisone"
207,atorvastatin calcium trihydrate
208,nicotine
209,oxygen
210,"eucalyptus globulus leaf, sodium chloride"
211,"naphazoline hydrochloride, glycerin"
212,aclidinium bromide
213,valproic acid
214,potassium chloride
215,erythromycin
216,valsartan
217,"sepia officinalis juice, matricaria chamomilla, passiflora incarnata flowering top, semecarpus anacardium juice, iris versicolor root, sus scrofa placenta, thyroid, ovine, bos taurus hypothalamus, corticotropin, bryonia alba root, valerian, dibasic potassium phosphate, strychnos nux-vomica seed, sodium carbonate, datura stramonium, fucus vesiculosus, ceratostigma willmottianum flower, bos taurus pituitary gland, posterior, potassium carbonate, chaste tree fruit, berberis vulgaris root bark, phytolacca americana root, aesculus hippocastanum flower, sodium chloride, centaurium erythraea flower, ubidecarenone, toxicodendron pubescens leaf, anemone pulsatilla, lycopodium clavatum spore, agrimonia eupatoria flower, magnesium phosphate, dibasic trihydrate, sodium sulfate, thyroid, bovine, silver nitrate, sodium phosphate, dibasic, heptahydrate, scutellaria lateriflora, chelidonium majus, sus scrofa pituitary gland, digitalis, activated charcoal, castanea sativa leaf, oyster shell calcium carbonate, crude, graphite"
218,ofloxacin
219,capecitabine
220,cefdinir
221,nystatin
222,meclizine hydrochloride
223,"menthol, unspecified form, camphor (synthetic), eucalyptus oil"
224,"strychnos nux-vomica seed, beta vulgaris, sarsaparilla, chelidonium majus, veratrum album root, gelsemium sempervirens root, peumus boldus leaf, selenium, zinc, lycopodium clavatum spore, thuja occidentalis leafy twig, iron, iodine, pulsatilla vulgaris"
225,moxifloxacin hydrochloride monohydrate
226,tropicamide
227,sodium chloride
228,"menthol, methyl salicylate, capsaicin"
229,"polymyxin b sulfate, trimethoprim sulfate"
230,ondansetron hydrochloride
231,"sus scrofa pancreas, apc-356433, sus scrofa cerebrum, pork kidney, gelsemium sempervirens root, apc-356434, gamboge, methylcobalamin, sus scrofa stomach, strychnos nux-vomica seed, echinacea angustifolia, insulin pork, vincetoxicum hirundinaria root, phytolacca americana root, adenosine triphosphate disodium, proteus vulgaris, pork liver, sus scrofa hypothalamus, 7-oxodehydroepiandrosterone 3-acetate, lactic acid, l-, oyster shell calcium carbonate, crude, graphite"
232,nitrous oxide
233,etomidate
234,"clove, santalum spicatum whole"
235,"pork collagen, hyaluronate sodium, glycerin"
236,"clematis recta flowering top, sepia officinalis juice, phytolacca americana root, sodium chloride, toxicodendron pubescens leaf, thuja occidentalis leafy twig, ranunculus bulbosus, daphne mezereum bark, chrysopogon zizanioides root"
237,"sodium phosphate, potassium phosphate, dibasic, sodium chloride, tribasic calcium phosphate, calcium fluoride, ferrum phosphoricum, potassium chloride, silicon dioxide, sodium sulfate, magnesium phosphate, dibasic trihydrate, calcium sulfate, potassium sulfate"
238,"sodium phosphate, potassium phosphate, dibasic, sodium chloride, calcium phosphate, calcium fluoride, ferrum phosphoricum, potassium chloride, silicon dioxide, sodium sulfate, magnesium phosphate, dibasic trihydrate, calcium sulfate, arnica montana flower, potassium sulfate"
239,diclofenac sodium
240,silodosin
241,trientine hydrochloride
242,solifenacin succinate
243,abiraterone acetate
244,undecylenic acid
245,"pyridoxine hydrochloride, silicon dioxide"
246,metoprolol tartrate
247,"octinoxate, octisalate, avobenzone"
248,"hydrochlorothiazide, losartan potassium"
249,hydralazine hydrochloride
250,phenazopyridine hydrochloride
251,"fibroblast growth factor-1, hyaluronate sodium, glycerin"
252,cephalexin
253,clobazam
254,oatmeal
255,tobramycin
256,oxaliplatin
257,"hyaluronate sodium, magnesium ascorbyl phosphate"
258,"avobenzone, octocrylene, homosalate, octisalate, oxybenzone"
259,benzoyl peroxide
260,naja naja venom
261,"lactic acid, unspecified form, anemarrhena asphodeloides root, caprylyl glycol"
262,"menthol, benzocaine"
263,"menthol, unspecified form, methyl salicylate"
264,lanolin
265,"salix alba bark, hemp"
266,tagraxofusp
267,fosaprepitant dimeglumine
268,"octinoxate, zinc oxide, titanium dioxide"
269,caspofungin acetate
270,ketorolac tromethamine
271,"hyaluronate sodium, human epidermal growth factor"
272,proparacaine hydrochloride
273,"menthol, menthyl salicylate, (+/-)-"
274,"homosalate, octisalate, adenosine, octinoxate, niacinamide"
275,"sulfur, salicylic acid"
276,"lidocaine, menthol"
277,pumice
278,nitrogen
279,peracetic acid
280,coal tar
281,"capsicum, methyl salicylate, camphor (natural)"
282,anhydrous dextrose
283,histamine dihydrochloride
284,cedar leaf oil
285,ciprofloxacin hydrochloride
286,"sus scrofa pancreas, apc-356433, sus scrofa cerebrum, pork kidney, gelsemium sempervirens root, apc-356434, gamboge, methylcobalamin, sus scrofa stomach, strychnos nux-vomica seed, echinacea angustifolia, insulin pork, vincetoxicum hirundinaria root, phytolacca americana root, adenosine triphosphate disodium, glucagon, proteus vulgaris, pork liver, sus scrofa hypothalamus, 7-oxodehydroepiandrosterone 3-acetate, lactic acid, l-, oyster shell calcium carbonate, crude, graphite"
287,clofarabine
288,"lavender oil, lactobacillus reuteri, sodium chloride, sophora flavescens root"
289,"octinoxate, octisalate, octocrylene"
290,"octocrylene, avobenzone, homosalate"
291,aminocaproic acid
292,butylene glycol
293,"octinoxate, octisalate, homosalate"
294,cetylpyridinium chloride
295,quetiapine fumarate
